itemNo,brand,layers,packageRolls,rollSheets,sheetWidth,sheetLength,sheetLength_c,rollLength,rollLength_c,packagePrice,rollPrice,rollPrice_c,paperWeight,paperWeight_c,packageWeight,packageWeight_c,rollWeight,rollWeight_c,kiloPrice,kiloPrice_c,meterPrice,meterPrice_c,sheetPrice,sheetPrice_c,supplier,comments
5705830002242,REMA 1000 Toiletpapir         ,2     ,8           ,282       ,97        ,125        ,0            ,35.25     ,0           ,9.75        ,1.21875         ,1          ,0          ,0            ,32.6         ,0              ,0                 ,0           ,10.93    ,0          ,0.0346     ,1           ,0.004322   ,1           ,Rema Vejby       ,Produceret i Sverige
WW-166808    ,Staples 29 m                  ,2     ,8           ,250       ,96        ,115        ,0            ,28.75     ,0           ,24.94       ,3.12            ,1          ,0          ,0            ,16.50        ,0              ,0                 ,0           ,188.94   ,0          ,0.10843    ,1           ,0.1247     ,1           ,Staples          ,Online
5700384289095,Irma Tusindfryd Toiletpapir   ,3     ,8           ,233       ,97        ,125        ,0            ,29.1      ,0           ,41.0        ,5.125           ,1          ,0          ,0            ,48           ,0              ,0                 ,0           ,31.64    ,0          ,0.1761     ,1           ,0.022      ,1           ,Kvickly Helsinge ,Produceret i Sverige
WW-101012    ,Scott® Performance 350        ,3     ,36          ,350       ,95        ,125        ,0            ,43.75     ,0           ,589         ,9.21            ,1          ,0          ,0            ,0            ,0              ,0                 ,0           ,0        ,0          ,0.46746    ,1           ,0.48433    ,1           ,Staples          ,Online
WW-114649    ,Tork Advanced Extra Soft T4   ,3     ,42          ,248       ,94        ,140        ,1            ,34.70     ,0           ,386.85      ,9.21            ,1          ,0          ,0            ,0            ,0              ,0                 ,0           ,0        ,0          ,0.26544    ,1           ,0.03714    ,1           ,Staples          ,Online
170190       ,Lambi Classic 9               ,3     ,9           ,255       ,0         ,125        ,1            ,31.9      ,0           ,34.95       ,3.88            ,1          ,0          ,0            ,0            ,0              ,0                 ,0           ,41.26    ,0          ,0.1217     ,1           ,0.01523    ,1           ,Rema Vejby       ,Produceret i Sverige
test         ,test                          ,3     ,9           ,255       ,0         ,125        ,1            ,31.9      ,0           ,34.95       ,3.88            ,1          ,0          ,0            ,0            ,0              ,0                 ,0           ,41.26    ,0          ,0.1217     ,1           ,0.01523    ,1           ,Rema Vejby       ,Produceret i Sverige
test         ,test                          ,3     ,9           ,255       ,0         ,125        ,1            ,31.9      ,0           ,38          ,3.88            ,1          ,0          ,0            ,0            ,0              ,0                 ,0           ,41.26    ,0          ,0.1217     ,1           ,0.01523    ,1           ,Rema Vejby       ,Produceret i Sverige
test         ,test                          ,3     ,9           ,255       ,0         ,125        ,1            ,31.9      ,0           ,36          ,3.88            ,1          ,0          ,0            ,0            ,0              ,0                 ,0           ,41.26    ,0          ,0.1217     ,1           ,0.01523    ,1           ,Rema Vejby       ,Produceret i Sverige
test         ,test                          ,3     ,9           ,255       ,0         ,125        ,1            ,31.9      ,0           ,39          ,3.88            ,1          ,0          ,0            ,0            ,0              ,0                 ,0           ,41.26    ,0          ,0.1217     ,1           ,0.01523    ,1           ,Rema Vejby       ,Produceret i Sverige
test         ,test                          ,3     ,9           ,255       ,0         ,125        ,1            ,31.9      ,0           ,41          ,3.88            ,1          ,0          ,0            ,0            ,0              ,0                 ,0           ,41.26    ,0          ,0.1217     ,1           ,0.01523    ,1           ,Rema Vejby       ,Produceret i Sverige
test         ,test                          ,3     ,9           ,255       ,0         ,125        ,1            ,31.9      ,0           ,39.95       ,3.88            ,1          ,0          ,0            ,0            ,0              ,0                 ,0           ,41.26    ,0          ,0.1217     ,1           ,0.01523    ,1           ,Rema Vejby       ,Produceret i Sverige
?            ,Nemlig Basic                  ,2     ,8           ,220       ,96        ,125        ,1            ,27.5      ,0           ,9.2         ,1.15            ,1          ,0          ,0            ,36           ,0              ,0                 ,0           ,12.11    ,0          ,0.041818182,1           ,0.005227273,1           ,nemlig.com       ,Litauen
?            ,Lotus Comfort 8               ,3     ,8           ,155       ,98        ,125        ,0            ,19.1      ,0           ,22          ,2.75            ,1          ,0          ,0            ,0            ,0              ,0                 ,0           ,29.06    ,0          ,0.143979058,1           ,0.017973856,1           ,nemlig.com       ,
?            ,Lotus Comfort 8               ,3     ,8           ,155       ,98        ,125        ,0            ,19.1      ,0           ,35.95       ,4.49375         ,1          ,0          ,0            ,0.81         ,0              ,0.10125           ,1           ,44.38    ,0          ,0          ,0           ,0.028991936,1           ,Kvickly Helsinge ,
?            ,Nemlig Plus                   ,3     ,8           ,200       ,96        ,125        ,1            ,25        ,0           ,20.40       ,2.55            ,1          ,0          ,0            ,45           ,0              ,0                 ,0           ,23.61    ,1          ,0.102      ,1           ,0.01275    ,1           ,nemlig.com       ,Litauen
170016       ,Toiletpapir Ultrasoft         ,4     ,10          ,0         ,0         ,0          ,0            ,21.8      ,0           ,24          ,2.4             ,1          ,62         ,0            ,1.3          ,0              ,130               ,0           ,18.46    ,0          ,0          ,0           ,0          ,0           ,Rema Vejby       ,
